Заказ,Сумма,Количество,Цена
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000010107 от 13.11.2019 08:30:17, <...>","1,890.00",7.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000004182 от 27.04.2020 14:00:23, <...>","2,850.00",10.000,285.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000004272 от 01.05.2020 09:30:01, <...>","1,995.00",7.000,285.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000004295 от 04.05.2020 09:27:08, <...>","1,350.00",5.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000004405 от 07.05.2020 14:12:25, <...>","1,890.00",7.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000004475 от 11.05.2020 09:31:35, <...>","2,700.00",10.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000004664 от 15.05.2020 15:54:58, <...>","2,700.00",10.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000004843 от 21.05.2020 15:15:41, <...>","2,700.00",10.000,270.00
"Драгоманова 2А CoffeeandFriends, СЕЛЯНСЬКЕ 2,5% молоко  0,9МЛ, , Реализация товаров и услуг 0000005040 от 27.05.2020 09:21:03, <...>","2,700.00",10.000,270.00
"Драгоманова 2А CoffeeandFriends, СТИК - Сахар 200ШТ х 5Г, Реализация товаров и услуг 0000004546 от 22.07.2019 11:54:18, <...>",140.00,4.000,35.00
"Драгоманова 2А CoffeeandFriends, СТИК - Сахар 200ШТ х 5Г, Реализация товаров и услуг 0000002744 от 02.03.2020 09:33:49, <...>",175.00,5.000,35.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000004886 от 30.07.2019 09:10:09, <...>",340.00,5.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000008453 от 11.10.2019 12:06:11, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000010440 от 19.11.2019 11:14:21, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000011893 от 18.12.2019 10:46:04, <...>",204.00,3.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000012372 от 28.12.2019 07:39:19, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000001646 от 08.02.2020 09:38:33, <...>",204.00,3.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000002744 от 02.03.2020 09:33:49, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000003032 от 06.03.2020 10:32:04, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000003976 от 14.04.2020 08:47:59, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000004058 от 20.04.2020 10:40:11, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000004144 от 24.04.2020 09:08:58, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000004272 от 01.05.2020 09:30:01, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000005040 от 27.05.2020 09:21:03, <...>",136.00,2.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000005607 от 09.06.2020 14:21:42, <...>",136.00,2.000,68.00
"Драгоманова 2А CoffeeandFriends, Сироп 700 мл (900 г), Реализация товаров и услуг 0000005760 от 12.06.2020 11:22:57, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000005619 от 15.08.2019 11:22:40, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000007036 от 16.09.2019 09:26:24, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000007640 от 26.09.2019 11:47:06, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000009248 от 28.10.2019 13:06:25, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000010657 от 23.11.2019 08:38:53, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000000198 от 08.01.2020 15:46:51, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000001882 от 13.02.2020 14:45:41, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000002344 от 22.02.2020 09:41:51, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000003976 от 14.04.2020 08:47:59, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, Маршмелоу ЗЕФИР 800Г БЕЛЫЙ, Реализация товаров и услуг 0000004843 от 21.05.2020 15:15:41, <...>",150.00,1.000,150.00
"Драгоманова 2А CoffeeandFriends, МЕШАЛКА ДЕРЕВЯННАЯ 14 СМ.800ШТ (40) , Реализация товаров и услуг 0000007640 от 26.09.2019 11:47:06, <...>",60.00,2.000,30.00
"Драгоманова 2А CoffeeandFriends, Сироп Емми 700 мл (900 г), Реализация товаров и услуг 0000008453 от 11.10.2019 12:06:11, <...>",68.00,1.000,68.00
"Драгоманова 2А CoffeeandFriends, PREMIUM ARABICA ""Sandul Coffee"" 1000г, Реализация товаров и услуг 0000009248 от 28.10.2019 13:06:25, <...>",250.00,1.000,250.00
"Драгоманова 2А CoffeeandFriends, Холдер ПОДСТАВКА ДЛЯ СТАКАНА НА 4 СЕКЦИИ , Реализация товаров и услуг 0000000198 от 08.01.2020 15:46:51, <...>",120.00,30.000,4.00
"Драгоманова 2А CoffeeandFriends, Ложечка кофейная (100шт.), Реализация товаров и услуг 0000003032 от 06.03.2020 10:32:04, <...>",70.00,2.000,35.00
